"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-24",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-26",,,"1.06",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-27",,,"0.10",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-28",,,"0.70",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-29",,,"0.05",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-30",,,"2.65",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-08-31",,,"0.28",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-01",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-02",,,"0.04",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-03",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-04",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-06",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-07",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-08",,,"0.30",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-09",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-10",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-11",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-13",,,"0.03",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-14",,,"0.82",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-15",,,"5.29",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-16",,,"1.85",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-17",,,"0.83",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-18",,,"0.12",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-19",,,"0.05",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-20",,,"0.02",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-21",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-22",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-23",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-24",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-25",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-26",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-27",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-28",,,"0.02",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-29",,,"0.91",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-09-30",,,"2.55",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-01",,,"0.88",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-02",,,"0.42",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-03",,,"0.42",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-04",,,"0.03",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-05",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-06",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-09",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-10",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-11",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-12",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-13",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-14",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-15",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-16",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-17",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-18",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-19",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-20",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-21",,,"0.05",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-22",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-23",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-24",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-25",,,"0.19",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-26",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-27",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-28",,,"1.39",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-29",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-30",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-10-31",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-01",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-02",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-03",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-04",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-05",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-06",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-07",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-09",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-10",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-11",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-12",,,"0.27",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-13",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-14",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-15",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-16",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-17",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-18",,,"0.08",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-19",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-20",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-21",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-22",,,"0.47",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-23",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-24",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-25",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-26",,,"0.12",",,N",,,,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-27",,,"0.00",",,N","0.0",",,N",,
"US1LAEB0014","30.439266","-91.06854","18.0","2021-11-28",,,"0.06",",,N",,,,
"USC00167344","32.8921","-93.645","93.0","2021-08-01",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-02",,,"0.28",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-03",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-04",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-05",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-06",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-07",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-08",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-09",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-10",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-11",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-12",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-13",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-14",,,"0.43",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-15",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-16",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-17",,,"0.04",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-18",,,"0.39",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-19",,,"0.21",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-20",,,"0.41",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-21",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-22",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-23",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-24",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-25",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-26",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-27",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-28",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-29",,,"0.01",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-30",,,"0.36",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-08-31",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-01",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-02",,,"0.57",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-03",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-04",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-05",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-06",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-07",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-08",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-09",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-10",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-11",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-12",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-13",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-14",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-15",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-16",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-17",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-18",,,"0.37",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-19",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-20",,,"0.70",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-21",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-22",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-23",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-24",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-25",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-26",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-27",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-28",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-29",,,"0.21",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-09-30",,,"0.05",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-01",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-02",,,"0.15",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-03",,,"0.03",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-04",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-05",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-06",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-07",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-08",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-09",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-10",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-11",,,"0.01",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-12",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-13",,,"0.02",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-14",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-15",,,"0.08",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-16",,,"0.04",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-17",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-18",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-19",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-20",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-21",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-22",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-23",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-24",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-25",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-26",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-27",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-28",,,"1.11",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-29",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-30",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-10-31",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00167344","32.8921","-93.645","93.0","2021-11-01",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-02",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-03",,,"0.55",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-04",,,"0.70",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-05",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-06",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-07",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-08",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-09",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-10",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-11",,,"0.78",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-15",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-16",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-17",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-18",,,"0.01",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-19",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-20",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-21",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-22",,,"0.02",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-23",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-24",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-25",,,"0.63",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-26",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-27",,,"0.00",",,H,0800",,,,
"USC00167344","32.8921","-93.645","93.0","2021-11-28",,,"0.30",",,H,0800",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-02",,,"0.06",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-05",,,"0.05",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-06",,,"0.28",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-10",,,"0.00","T,,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-12",,,"0.02",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-14",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-18",,,"0.01",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-19",,,"0.00","T,,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-20",,,"0.77",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-21",,,"0.01",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-22",,,"0.01",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-23",,,"0.37",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-24",,,"0.04",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-27",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-28",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-29",,,"0.03",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-30",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-08-31",,,"0.05",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-01",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-02",,,"1.28",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-03",,,"0.06",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-04",,,"0.01",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-06",,,"0.13",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-07",,,"0.32",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-08",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-09",,,"0.10",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-10",,,"1.12",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-11",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-13",,,"0.01",",,N",,,,
"US1MEAN0043","44.0232","-70.1055","53.9","2021-09-14",,,"0.00",",,N","0.0",",,N",,
