"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-17",,,,,,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-18",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-19",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-20",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-21",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-22",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-23",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-24",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-25",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-26",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-27",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-28",,,"1.35",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-29",,,"0.03",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-30",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-10-31",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-01",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-02",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-03",,,"0.06",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-04",,,"0.24",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-05",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-06",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-07",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-09",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-10",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-11",,,"0.51",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-12",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-13",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-14",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-15",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-16",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-17",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-18",,,"0.06",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-19",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-20",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-21",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-22",,,"0.79",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-23",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-24",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-25",,,"0.09",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-26",,,"0.21",",,N",,,,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-27",,,"0.00",",,N","0.0",",,N",,
"US1LAUN0002","32.680494","-92.223631","39.0","2021-11-28",,,"0.21",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-02",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-03",,,"0.02",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-05",,,"0.20",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-06",,,"0.38",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-10",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-12",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-14",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-15",,,"0.48",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-18",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-19",,,"0.07",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-20",,,"0.52",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-21",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-22",,,"0.02",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-23",,,"0.32",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-24",,,"0.02",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-27",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-28",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-29",,,"0.23",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-30",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-08-31",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-01",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-02",,,"1.15",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-03",,,"0.11",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-04",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-06",,,"0.10",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-07",,,"0.26",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-08",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-09",,,"0.00","T,,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-10",,,"1.06",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-11",,,"0.25",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-13",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-14",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-15",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-16",,,"0.18",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-17",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-18",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-19",,,"0.51",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-20",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-21",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-22",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-23",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-24",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-25",,,"0.72",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-26",,,"0.64",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-27",,,"0.63",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-28",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-29",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-09-30",,,"0.04",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-01",,,"0.24",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-02",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-03",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-04",,,"0.05",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-05",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-06",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-09",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-10",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-11",,,"0.02",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-12",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-13",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-14",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-15",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-18",,,,,,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-19",,,"0.01",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-20",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-21",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-22",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-23",,,"0.07",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-24",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-25",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-26",,,"0.31",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-27",,,"0.63",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-28",,,"0.18",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-29",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-30",,,"0.02",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-10-31",,,"3.23",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-01",,,"0.06",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-02",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-03",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-04",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-05",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-06",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-07",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-08",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-09",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-10",,,"0.07",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-11",,,"0.24",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-12",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-13",,,"1.38",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-14",,,"0.19",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-15",,,"0.30",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-16",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-17",,,"0.00","T,,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-18",,,"0.03",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-19",,,"0.19",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-20",,,"0.00","T,,N","0.0","T,,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-21",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-22",,,"1.53",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-23",,,"0.34",",,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-24",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-25",,,"0.00",",,N","0.0",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-26",,,"0.00","T,,N",,,,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-27",,,"0.51",",,N","3.5",",,N",,
"US1MEKX0006","44.24435","-69.315389","167.3","2021-11-28",,,"0.00","T,,N","0.0","T,,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-02",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-05",,,"0.25",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-06",,,"0.25",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-10",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-11",,,"0.01",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-12",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-14",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-18",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-19",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-20",,,"1.48",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-21",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-22",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-23",,,"0.40",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-24",,,"3.00",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-27",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-28",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-29",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-08-30",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-01",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-02",,,"2.31",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-03",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-04",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-06",,,"0.20",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-07",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-08",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-09",,,"0.05",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-10",,,"0.70",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-11",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-13",,,"0.08",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-14",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-15",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-16",,,"0.74",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-17",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-18",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-19",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-20",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-21",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-22",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-23",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-24",,,"0.00","T,,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-25",,,"0.25",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-26",,,"0.20",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-27",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-28",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-29",,,"0.03",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-09-30",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-01",,,"0.02",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-02",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-03",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-04",,,"0.01",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-05",,,"0.09",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-06",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-09",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-10",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-11",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-12",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-13",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-14",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-15",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-16",,,"0.02",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-17",,,"0.40",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-18",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-19",,,"0.06",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-20",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-21",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-22",,,"0.00","T,,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-23",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-24",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-25",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-26",,,"0.40",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-27",,,"1.85",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-28",,,"0.51",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-29",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-30",,,"0.10",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-10-31",,,"6.88",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-01",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-02",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-03",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-04",,,"0.00","T,,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-05",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-06",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-07",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-08",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-09",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-10",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-11",,,"0.06",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-12",,,"0.00",",,N","0.0",",,N",,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-13",,,"1.50",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-14",,,"0.23",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-15",,,"0.11",",,N",,,,
"US1MEYK0005","43.3932","-70.58057","42.4","2021-11-16",,,"0.00",",,N","0.0",",,N",,
